"Name","Company","First Name","Last Name","Email","Phone","Mobile","Website","Billing Street","Billing City","Billing Province","Billing Postal Code","Billing Country","Terms","Account No.","Print on Cheque As","Notes"
"Titan Manufacturing Canada Inc.","Titan Manufacturing Canada Inc.","Michael","Campbell","michael.campbell@titan-manufacturing-canada-inc.example.com","(905) 555-0198","","https://www.titan-manufacturing-canada-inc.example.com","4273 Burnhamthorpe Road","Oakville","ON","L5K 2R5","Canada","Net 15","TIT-56030","Titan Manufacturing Canada Inc.","Fournisseurs - test data"
"Papeterie Métalliques Québec inc.","Papeterie Métalliques Québec inc.","François","Cloutier","francois.cloutier@papeterie-metalliques-quebec-inc.example.com","(873) 555-0132","","https://www.papeterie-metalliques-quebec-inc.example.com","666 boulevard Industriel","Sherbrooke","QC","J0X 4G2","Canada","Net 15","PAP-08209","Papeterie Métalliques Québec inc.","Fournisseurs — jeu d'essai"
"Fournitures Fortin inc.","Fournitures Fortin inc.","Catherine","Bouchard","catherine.bouchard@fournitures-fortin-inc.example.com","(514) 555-0107","(514) 555-0184","https://www.fournitures-fortin-inc.example.com","19 rue du Parc-Industriel","Brossard","QC","J8V 6Z1","Canada","Net 30","FOU-34907","Fournitures Fortin inc.","Fournisseurs — jeu d'essai"
"Wilson Adhesives Group Inc.","Wilson Adhesives Group Inc.","Hannah","Fraser","hannah.fraser@wilson-adhesives-group-inc.example.com","(709) 555-0173","","https://www.wilson-adhesives-group-inc.example.com","3705 Industrial Drive","Mount Pearl","NL","A6G 4T0","Canada","Net 30","WIL-10694","Wilson Adhesives Group Inc.","Fournisseurs - test data"
"Crestline Distributors & Sons Ltd.","Crestline Distributors & Sons Ltd.","Megan","MacDonald","megan.macdonald@crestline-distributors-sons-ltd.example.com","(365) 555-0150","(365) 555-0194","https://www.crestline-distributors-sons-ltd.example.com","3411 Kennedy Road","Barrie","ON","L8J 1N6","Canada","Net 15","CRE-36171","Crestline Distributors & Sons Ltd.","Fournisseurs - test data"
"Approvisionnement Métalliques enr.","Approvisionnement Métalliques enr.","Mathieu","Côté","mathieu.cote@approvisionnement-metalliques-enr.example.com","(581) 555-0176","(581) 555-0128","https://www.approvisionnement-metalliques-enr.example.com","396 rue Cousineau","Saguenay","QC","G9S 8G7","Canada","Net 15","APP-83690","Approvisionnement Métalliques enr.","Fournisseurs — jeu d'essai"
"Sentinel Steel Ltd.","Sentinel Steel Ltd.","Megan","Patel","megan.patel@sentinel-steel-ltd.example.com","(647) 555-0152","(647) 555-0125","https://www.sentinel-steel-ltd.example.com","3723 Airport Road","Etobicoke","ON","M4H 9M6","Canada","Net 30","SEN-36500","Sentinel Steel Ltd.","Fournisseurs - test data"
"Matériaux Gagnon ltée","Matériaux Gagnon ltée","Nathalie","Ouellet","nathalie.ouellet@materiaux-gagnon-ltee.example.com","(819) 555-0152","(819) 555-0149","https://www.materiaux-gagnon-ltee.example.com","2386 avenue Manufacturiers","Québec","QC","G0L 1L4","Canada","Net 30","MAT-52296","Matériaux Gagnon ltée","Fournisseurs — jeu d'essai"
"Distribution Lavoie du Nord inc.","Distribution Lavoie du Nord inc.","Denis","Ouellet","denis.ouellet@distribution-lavoie-du-nord-inc.example.com","(819) 555-0100","","https://www.distribution-lavoie-du-nord-inc.example.com","3960 chemin du Tremblay","Sherbrooke","QC","J6B 7Z6","Canada","Net 15","DIS-54751","Distribution Lavoie du Nord inc.","Fournisseurs — jeu d'essai"
"Murray Distributors & Sons Ltd.","Murray Distributors & Sons Ltd.","Brian","Brown","brian.brown@murray-distributors-sons-ltd.example.com","(416) 555-0188","","https://www.murray-distributors-sons-ltd.example.com","1951 Industrial Drive, bureau 803","Toronto","ON","M9X 4A1","Canada","Net 30","MUR-88916","Murray Distributors & Sons Ltd.","Fournisseurs - test data"
"Câbles d'Emballage inc.","Câbles d'Emballage inc.","Denis","Caron","denis.caron@cables-d-emballage-inc.example.com","(819) 555-0191","(819) 555-0139","https://www.cables-d-emballage-inc.example.com","3339 avenue Manufacturiers","Québec","QC","G4L 9Y7","Canada","Net 30","CAB-82640","Câbles d'Emballage inc.","Fournisseurs — jeu d'essai"
"Pioneer Adhesives Inc.","Pioneer Adhesives Inc.","Robert","Wilson","robert.wilson@pioneer-adhesives-inc.example.com","(431) 555-0119","(431) 555-0134","https://www.pioneer-adhesives-inc.example.com","2205 Dixie Road","Winnipeg","MB","R4L 1K3","Canada","Net 15","PIO-77108","Pioneer Adhesives Inc.","Fournisseurs - test data"
"Apex Freight Ltd.","Apex Freight Ltd.","Rachel","Brown","rachel.brown@apex-freight-ltd.example.com","(437) 555-0158","","https://www.apex-freight-ltd.example.com","794 Airport Road","Scarborough","ON","M5N 0E9","Canada","2% 10 Net 30","APE-01265","Apex Freight Ltd.","Fournisseurs - test data"
"Atlantic Chemicals Group Inc.","Atlantic Chemicals Group Inc.","Brian","Clarke","brian.clarke@atlantic-chemicals-group-inc.example.com","(604) 555-0152","","https://www.atlantic-chemicals-group-inc.example.com","1979 Dixie Road","Richmond","BC","V1G 2G3","Canada","Net 15","ATL-62775","Atlantic Chemicals Group Inc.","Fournisseurs - test data"
"Keystone Hydraulics Canada Inc.","Keystone Hydraulics Canada Inc.","Brian","Brown","brian.brown@keystone-hydraulics-canada-inc.example.com","(437) 555-0128","(437) 555-0183","https://www.keystone-hydraulics-canada-inc.example.com","277 Dixie Road","Etobicoke","ON","M7W 6M6","Canada","Net 30","KEY-68376","Keystone Hydraulics Canada Inc.","Fournisseurs - test data"
"Fournitures Tremblay enr.","Fournitures Tremblay enr.","Julie","Pelletier","julie.pelletier@fournitures-tremblay-enr.example.com","(579) 555-0114","(579) 555-0107","https://www.fournitures-tremblay-enr.example.com","3531 rue du Parc-Industriel","Longueuil","QC","H8E 8B4","Canada","Net 30","FOU-96050","Fournitures Tremblay enr.","Fournisseurs — jeu d'essai"
"Fraser Fasteners & Sons Ltd.","Fraser Fasteners & Sons Ltd.","Andrew","Murray","andrew.murray@fraser-fasteners-sons-ltd.example.com","(867) 555-0111","(867) 555-0162","https://www.fraser-fasteners-sons-ltd.example.com","2313 Logistics Way","Whitehorse","YT","Y0B 4N2","Canada","2% 10 Net 30","FRA-68125","Fraser Fasteners & Sons Ltd.","Fournisseurs - test data"
"Matériaux de Bureau inc.","Matériaux de Bureau inc.","Marie","Côté","marie.cote@materiaux-de-bureau-inc.example.com","(438) 555-0188","","https://www.materiaux-de-bureau-inc.example.com","2626 rue de l'Industrie","Laval","QC","J5N 1B1","Canada","Net 15","MAT-28499","Matériaux de Bureau inc.","Fournisseurs — jeu d'essai"
"Transport Gauthier du Nord inc.","Transport Gauthier du Nord inc.","Denis","Lévesque","denis.levesque@transport-gauthier-du-nord-inc.example.com","(819) 555-0177","","https://www.transport-gauthier-du-nord-inc.example.com","2291 chemin du Tremblay, bureau 243","Rimouski","QC","G4G 4X1","Canada","2% 10 Net 30","TRA-19746","Transport Gauthier du Nord inc.","Fournisseurs — jeu d'essai"
"Singh Fasteners Holdings Ltd.","Singh Fasteners Holdings Ltd.","Jason","Smith","jason.smith@singh-fasteners-holdings-ltd.example.com","(365) 555-0183","(365) 555-0124","https://www.singh-fasteners-holdings-ltd.example.com","2235 Kennedy Road, bureau 559","Barrie","ON","L4Z 4E0","Canada","Net 30","SIN-92413","Singh Fasteners Holdings Ltd.","Fournisseurs - test data"
"Dominion Adhesives Corp.","Dominion Adhesives Corp.","Steven","MacDonald","steven.macdonald@dominion-adhesives-corp.example.com","(226) 555-0166","(226) 555-0129","https://www.dominion-adhesives-corp.example.com","135 Industrial Drive","Windsor","ON","N0W 3L5","Canada","Due on receipt","DOM-61866","Dominion Adhesives Corp.","Fournisseurs - test data"
"Thompson Abrasives Inc.","Thompson Abrasives Inc.","Rachel","Campbell","rachel.campbell@thompson-abrasives-inc.example.com","(365) 555-0168","","https://www.thompson-abrasives-inc.example.com","1392 Kennedy Road","Hamilton","ON","L8J 1A5","Canada","Net 30","THO-30166","Thompson Abrasives Inc.","Fournisseurs - test data"
"MacDonald Distributors Corp.","MacDonald Distributors Corp.","Sarah","Kowalski","sarah.kowalski@macdonald-distributors-corp.example.com","(782) 555-0154","","https://www.macdonald-distributors-corp.example.com","647 Steeles Avenue East, bureau 601","Sydney","NS","B8C 8C0","Canada","Net 30","MAC-51877","MacDonald Distributors Corp.","Fournisseurs - test data"
"Dominion Bearings Inc.","Dominion Bearings Inc.","Rachel","Thompson","rachel.thompson@dominion-bearings-inc.example.com","(204) 555-0132","","https://www.dominion-bearings-inc.example.com","4767 Enterprise Boulevard","Steinbach","MB","R3J 6P1","Canada","2% 10 Net 30","DOM-67804","Dominion Bearings Inc.","Fournisseurs - test data"
"Cascade Wholesale Corp.","Cascade Wholesale Corp.","Michael","Campbell","michael.campbell@cascade-wholesale-corp.example.com","(250) 555-0163","","https://www.cascade-wholesale-corp.example.com","3131 Dixie Road, bureau 429","Victoria","BC","V9X 5K3","Canada","Net 30","CAS-13364","Cascade Wholesale Corp.","Fournisseurs - test data"
"Titan Fasteners Holdings Ltd.","Titan Fasteners Holdings Ltd.","Emily","Thompson","emily.thompson@titan-fasteners-holdings-ltd.example.com","(519) 555-0163","","https://www.titan-fasteners-holdings-ltd.example.com","3616 Burnhamthorpe Road","London","ON","N6A 3Z4","Canada","2% 10 Net 30","TIT-12637","Titan Fasteners Holdings Ltd.","Fournisseurs - test data"
"Northgate Fasteners Inc.","Northgate Fasteners Inc.","Brian","Singh","brian.singh@northgate-fasteners-inc.example.com","(236) 555-0154","(236) 555-0185","https://www.northgate-fasteners-inc.example.com","1517 Airport Road, bureau 778","Richmond","BC","V3W 7C4","Canada","Net 30","NOR-02150","Northgate Fasteners Inc.","Fournisseurs - test data"
"Produits Métalliques et Fils inc.","Produits Métalliques et Fils inc.","Simon","Lavoie","simon.lavoie@produits-metalliques-et-fils-inc.example.com","(506) 555-0174","","https://www.produits-metalliques-et-fils-inc.example.com","2301 chemin du Tremblay, bureau 685","Bathurst","NB","E5K 9N5","Canada","Due on receipt","PRO-60571","Produits Métalliques et Fils inc.","Fournisseurs — jeu d'essai"
"Manufacture Alimentaires Canada inc.","Manufacture Alimentaires Canada inc.","Josée","Poirier","josee.poirier@manufacture-alimentaires-canada-inc.example.com","(450) 555-0152","","https://www.manufacture-alimentaires-canada-inc.example.com","4005 boulevard Hymus, bureau 134","Gatineau","QC","J0J 6T6","Canada","Net 15","MAN-82939","Manufacture Alimentaires Canada inc.","Fournisseurs — jeu d'essai"
"Manufacture Fortin enr.","Manufacture Fortin enr.","Jean","Bouchard","jean.bouchard@manufacture-fortin-enr.example.com","(506) 555-0179","","https://www.manufacture-fortin-enr.example.com","4708 rue du Parc-Industriel","Bathurst","NB","E8Y 8S8","Canada","Net 15","MAN-46766","Manufacture Fortin enr.","Fournisseurs — jeu d'essai"
"Stewart Packaging Group Inc.","Stewart Packaging Group Inc.","Steven","Reid","steven.reid@stewart-packaging-group-inc.example.com","(867) 555-0158","(867) 555-0198","https://www.stewart-packaging-group-inc.example.com","4544 Airport Road","Hay River","NT","X6C 8A6","Canada","Net 30","STE-38695","Stewart Packaging Group Inc.","Fournisseurs - test data"
"Entrepôts Gauthier du Nord inc.","Entrepôts Gauthier du Nord inc.","Caroline","Dubé","caroline.dube@entrepots-gauthier-du-nord-inc.example.com","(450) 555-0198","","https://www.entrepots-gauthier-du-nord-inc.example.com","80 boulevard Industriel","Montréal","QC","H5N 5S2","Canada","Net 30","ENT-01423","Entrepôts Gauthier du Nord inc.","Fournisseurs — jeu d'essai"
"Kowalski Steel Corp.","Kowalski Steel Corp.","Robert","Thompson","robert.thompson@kowalski-steel-corp.example.com","(604) 555-0118","","https://www.kowalski-steel-corp.example.com","703 Burnhamthorpe Road","Kelowna","BC","V7P 7A0","Canada","2% 10 Net 30","KOW-92141","Kowalski Steel Corp.","Fournisseurs - test data"
"Distribution Fortin Canada inc.","Distribution Fortin Canada inc.","Éric","Lavoie","eric.lavoie@distribution-fortin-canada-inc.example.com","(819) 555-0132","","https://www.distribution-fortin-canada-inc.example.com","1125 chemin du Tremblay","Lévis","QC","G2A 6S1","Canada","Net 15","DIS-22817","Distribution Fortin Canada inc.","Fournisseurs — jeu d'essai"
"Approvisionnement Bélanger Canada inc.","Approvisionnement Bélanger Canada inc.","Mathieu","Bergeron","mathieu.bergeron@approvisionnement-belanger-canada-inc.example.com","(506) 555-0116","","https://www.approvisionnement-belanger-canada-inc.example.com","2140 boulevard Dagenais, bureau 648","Moncton","NB","E1T 5B7","Canada","Net 15","APP-20777","Approvisionnement Bélanger Canada inc.","Fournisseurs — jeu d'essai"
"Papeterie Morin inc.","Papeterie Morin inc.","Mathieu","Ouellet","mathieu.ouellet@papeterie-morin-inc.example.com","(450) 555-0167","","https://www.papeterie-morin-inc.example.com","4217 boulevard des Entreprises","Montréal","QC","J1E 8W9","Canada","Net 30","PAP-18939","Papeterie Morin inc.","Fournisseurs — jeu d'essai"
"Frontier Hydraulics Canada Inc.","Frontier Hydraulics Canada Inc.","Hannah","Patel","hannah.patel@frontier-hydraulics-canada-inc.example.com","(905) 555-0133","","https://www.frontier-hydraulics-canada-inc.example.com","52 Steeles Avenue East","Hamilton","ON","L0M 0T4","Canada","Net 30","FRO-85113","Frontier Hydraulics Canada Inc.","Fournisseurs - test data"
"Aciers Roy ltée","Aciers Roy ltée","Caroline","Girard","caroline.girard@aciers-roy-ltee.example.com","(438) 555-0169","(438) 555-0103","https://www.aciers-roy-ltee.example.com","2157 boulevard Hymus, bureau 705","Brossard","QC","H1P 0B8","Canada","Due on receipt","ACI-41465","Aciers Roy ltée","Fournisseurs — jeu d'essai"
"Fonderie Chimiques du Nord inc.","Fonderie Chimiques du Nord inc.","Luc","Roy","luc.roy@fonderie-chimiques-du-nord-inc.example.com","(438) 555-0191","(438) 555-0124","https://www.fonderie-chimiques-du-nord-inc.example.com","1685 avenue Manufacturiers, bureau 356","Laval","QC","H4C 5A6","Canada","Net 15","FON-72025","Fonderie Chimiques du Nord inc.","Fournisseurs — jeu d'essai"
"Reid Hydraulics Ltd.","Reid Hydraulics Ltd.","Amanda","Singh","amanda.singh@reid-hydraulics-ltd.example.com","(365) 555-0145","","https://www.reid-hydraulics-ltd.example.com","2697 Enterprise Boulevard","Hamilton","ON","L2T 1R2","Canada","2% 10 Net 30","REI-60413","Reid Hydraulics Ltd.","Fournisseurs - test data"
"Pioneer Wholesale Canada Inc.","Pioneer Wholesale Canada Inc.","Robert","Smith","robert.smith@pioneer-wholesale-canada-inc.example.com","(519) 555-0140","","https://www.pioneer-wholesale-canada-inc.example.com","4637 Kennedy Road","Waterloo","ON","N9X 1B8","Canada","Due on receipt","PIO-03068","Pioneer Wholesale Canada Inc.","Fournisseurs - test data"
"Wilson Fasteners Holdings Ltd.","Wilson Fasteners Holdings Ltd.","Steven","Smith","steven.smith@wilson-fasteners-holdings-ltd.example.com","(613) 555-0173","(613) 555-0155","https://www.wilson-fasteners-holdings-ltd.example.com","1263 Logistics Way, bureau 899","Ottawa","ON","K9Y 8H5","Canada","Net 30","WIL-98317","Wilson Fasteners Holdings Ltd.","Fournisseurs - test data"
"Pacific Wholesale Ltd.","Pacific Wholesale Ltd.","Rachel","Nguyen","rachel.nguyen@pacific-wholesale-ltd.example.com","(778) 555-0106","","https://www.pacific-wholesale-ltd.example.com","1835 Dixie Road","Vancouver","BC","V2X 3Y7","Canada","Due on receipt","PAC-96560","Pacific Wholesale Ltd.","Fournisseurs - test data"
"Métaux Forestiers enr.","Métaux Forestiers enr.","Luc","Bouchard","luc.bouchard@metaux-forestiers-enr.example.com","(438) 555-0130","","https://www.metaux-forestiers-enr.example.com","4505 boulevard Dagenais","Brossard","QC","H5X 9J5","Canada","Net 15","MET-93200","Métaux Forestiers enr.","Fournisseurs — jeu d'essai"
"Grossiste Pelletier inc.","Grossiste Pelletier inc.","Caroline","Lavoie","caroline.lavoie@grossiste-pelletier-inc.example.com","(819) 555-0120","(819) 555-0199","https://www.grossiste-pelletier-inc.example.com","2400 boulevard Hymus","Rimouski","QC","G0V 5K4","Canada","2% 10 Net 30","GRO-07022","Grossiste Pelletier inc.","Fournisseurs — jeu d'essai"
"Manufacture Sanitaires ltée","Manufacture Sanitaires ltée","Catherine","Girard","catherine.girard@manufacture-sanitaires-ltee.example.com","(819) 555-0152","","https://www.manufacture-sanitaires-ltee.example.com","3209 rue de l'Industrie, bureau 344","Drummondville","QC","J9N 2L2","Canada","Net 15","MAN-22335","Manufacture Sanitaires ltée","Fournisseurs — jeu d'essai"
"Murray Distributors Corp.","Murray Distributors Corp.","Rachel","Nguyen","rachel.nguyen@murray-distributors-corp.example.com","(825) 555-0181","(825) 555-0188","https://www.murray-distributors-corp.example.com","899 Airport Road","Fort McMurray","AB","T2R 2T5","Canada","Net 15","MUR-88092","Murray Distributors Corp.","Fournisseurs - test data"
"Meridian Supply Co. & Sons Ltd.","Meridian Supply Co. & Sons Ltd.","Andrew","Bennett","andrew.bennett@meridian-supply-co-sons-ltd.example.com","(437) 555-0142","(437) 555-0168","https://www.meridian-supply-co-sons-ltd.example.com","2411 Commerce Court, bureau 394","Scarborough","ON","M8S 8C3","Canada","Net 30","MER-05162","Meridian Supply Co. & Sons Ltd.","Fournisseurs - test data"
"Meridian Chemicals & Sons Ltd.","Meridian Chemicals & Sons Ltd.","Jessica","Reid","jessica.reid@meridian-chemicals-sons-ltd.example.com","(647) 555-0100","(647) 555-0196","https://www.meridian-chemicals-sons-ltd.example.com","3387 Industrial Drive","North York","ON","M7R 1S6","Canada","Net 15","MER-91623","Meridian Chemicals & Sons Ltd.","Fournisseurs - test data"
"Campbell Bearings Canada Inc.","Campbell Bearings Canada Inc.","Sarah","Clarke","sarah.clarke@campbell-bearings-canada-inc.example.com","(782) 555-0135","(782) 555-0135","https://www.campbell-bearings-canada-inc.example.com","251 Industrial Drive","Sydney","NS","B3R 5L3","Canada","Net 30","CAM-34838","Campbell Bearings Canada Inc.","Fournisseurs - test data"
"Cascade Chemicals Holdings Ltd.","Cascade Chemicals Holdings Ltd.","Steven","Kowalski","steven.kowalski@cascade-chemicals-holdings-ltd.example.com","(204) 555-0131","","https://www.cascade-chemicals-holdings-ltd.example.com","495 Enterprise Boulevard, bureau 727","Winnipeg","MB","R8M 8B3","Canada","Due on receipt","CAS-37938","Cascade Chemicals Holdings Ltd.","Fournisseurs - test data"
