Id;DisplayName;CompanyName;Title;GivenName;MiddleName;FamilyName;PrintOnCheckName;PrimaryEmailAddr.Address;PrimaryPhone.FreeFormNumber;Mobile.FreeFormNumber;AlternatePhone.FreeFormNumber;Fax.FreeFormNumber;WebAddr.URI;BillAddr.Line1;BillAddr.Line2;BillAddr.Line3;BillAddr.Line4;BillAddr.City;BillAddr.CountrySubDivisionCode;BillAddr.PostalCode;BillAddr.Country;ShipAddr.Line1;ShipAddr.Line2;ShipAddr.Line3;ShipAddr.Line4;ShipAddr.City;ShipAddr.CountrySubDivisionCode;ShipAddr.PostalCode;ShipAddr.Country;Job;ParentRef.value;ParentRef.name;Level;SalesTermRef.value;PaymentMethodRef.value;PreferredDeliveryMethod;Taxable;DefaultTaxCodeRef.value;TaxExemptionReasonId;ResaleNum;BusinessNumber;GSTRegistrationType;PrimaryTaxIdentifier;Balance;BalanceWithJobs;OpenBalanceDate;CurrencyRef.value;Notes;Active;MetaData.CreateTime;MetaData.LastUpdatedTime
12;Hazel Robinson;Robinson Legal Services;;Hazel;;Robinson;Hazel Robinson;;;;;;;4234 King Cole Blvd.;;;;Toronto;ON;M3P 3M3;;;;;;;;;;false;;;;;;None;false;;;;;;;-974.63;-974.63;;CAD;;true;2026-03-31T22:35:20-07:00;2026-04-01T12:59:46-07:00
13;Himateja Madala;;;Himateja;;Madala;Himateja Madala;;306 306-1111;;;;;220 Spinnaker Dr;;;;Regina;SK;S6U 9Y0;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:21-07:00;2026-03-31T22:35:21-07:00
11;Ho Engineering Company;Ho Engineering Company;;Gorman;;Ho;Ho Engineering Company;;;;;;;2624 Shooter Dr.;;;;Kitchener;ON;M4Y 2M9;;2624 Shooter Dr.;;;;Kitchener;ON;M4Y 2M9;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:20-07:00;2026-03-31T22:56:46-07:00
14;Jacint Tumacder;;;Jacint;;Tumacder;Jacint Tumacder;;;;;;;;;;;;;;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:21-07:00;2026-03-31T22:35:21-07:00
15;Jen Zaccarella;;;Jen;;Zaccarella;Jen Zaccarella;;306 555-3060;;;;;101 Marion St.;;;;Regina;SK;S3S 3T5;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:21-07:00;2026-03-31T22:35:21-07:00
16;Jordan Burgess;;;Jordan;;Burgess;Jordan Burgess;;613 613-6131;;;;;320 Croydon Ave.;;;;Ottawa;ON;K5J 6T5;;;;;;;;;;false;;;;;;None;false;;;;;;;452.00;452.00;;CAD;;true;2026-03-31T22:35:21-07:00;2026-04-01T01:34:10-07:00
17;Justine Outland;;;Justine;;Outland;Justine Outland;;604 999-9998;;;;;6412 av des Erables;;;;Vancouver;BC;V5M 5M5;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:21-07:00;2026-03-31T22:35:21-07:00
18;Kari Steblay;;;Kari;;Steblay;Kari Steblay;;;;;;;4234 King Cole Blvd.;;;;Toronto;ON;M3P 3M3;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:22-07:00;2026-03-31T22:35:22-07:00
19;Karna Nisewaner;;;Karna;;Nisewaner;Karna Nisewaner;;306 555-3060;;;;;101 Marion St.;;;;Regina;SK;S3S 3T5;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:22-07:00;2026-03-31T22:35:22-07:00
10;Lew Plumbing;Lew Plumbing;;Glenn;;Lew;Lew Plumbing;;859-8595;;;;;4202 England Road;;;;Ottawa;ON;K3K 2K3;;4202 England Road;;;;Ottawa;ON;K3K 2K3;;false;;;;;;None;false;;;;;;;-454.83;-454.83;;CAD;;true;2026-03-31T22:35:20-07:00;2026-04-01T12:54:55-07:00
20;Moturu Tapasvi;;;Moturu;;Tapasvi;Moturu Tapasvi;;905 553-2677;;;;;9958 - 67 Street;;;;Toronto;ON;M2R 4R2;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:22-07:00;2026-03-31T22:35:22-07:00
21;Nadia Phillipchuk;;;Nadia;;Phillipchuk;Nadia Phillipchuk;;;;;;;;;;;;;;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:22-07:00;2026-03-31T22:35:22-07:00
2;Oxon Insurance Agency;Oxon Insurance Agency;;Annie;;Ma;Oxon Insurance Agency;;909 909-0900;;;;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:15-07:00;2026-04-01T11:13:21-07:00
65;Oxon - Holiday Party;Oxon - Holiday Party;;;;;Oxon - Holiday Party;;909 909-0900;;;;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;true;2;;1;;;None;false;;;;;;;0;0;;CAD;;true;2026-04-01T01:04:17-07:00;2026-04-01T11:13:21-07:00
66;Oxon - Retreat;Oxon - Retreat;;;;;Oxon - Retreat;;909 909-0900;;;;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;true;2;;1;;;None;false;;;;;;;0;0;;CAD;;true;2026-04-01T01:04:41-07:00;2026-04-01T11:12:19-07:00
22;Rob deMontarnal;;;Rob;;deMontarnal;Rob deMontarnal;;;;;;;;;;;;;;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:22-07:00;2026-03-31T22:35:22-07:00
5;Whitehead and Sons;Whitehead and Sons;;Charlie;;Whitehead;Whitehead and Sons;;222 222-2622;;;;;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;false;;;;;;None;false;;;;;;;5028.50;5028.50;;CAD;;true;2026-03-31T22:35:19-07:00;2026-05-03T09:06:59-07:00
