Id;DisplayName;CompanyName;Title;GivenName;FamilyName;PrintOnCheckName;PrimaryEmailAddr.Address;PrimaryPhone.FreeFormNumber;Mobile.FreeFormNumber;Fax.FreeFormNumber;WebAddr.URI;BillAddr.Line1;BillAddr.Line2;BillAddr.Line3;BillAddr.Line4;BillAddr.City;BillAddr.CountrySubDivisionCode;BillAddr.PostalCode;BillAddr.Country;AcctNum;BusinessNumber;GSTRegistrationType;TaxIdentifier;TermRef.value;APAccountRef.value;Vendor1099;T4AEligible;T5018Eligible;BillRate;Balance;CurrencyRef.value;Active;MetaData.CreateTime;MetaData.LastUpdatedTime
40;Kyle Kilat;Kyle Kilat;;Kyle;Kilat;Kyle Kilat;;909-0900;780-8007;;;17 Amber Ave.;;;;Toronto;ON;M3G 0G3;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:07-07:00;2026-03-31T22:36:07-07:00
42;Mark Howard;Howard's Property Management;;Mark;Howard;Mark Howard;;985-5895;999-9998;;;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;;;XXXXX7192;;;false;false;true;;0;CAD;true;2026-03-31T22:36:07-07:00;2026-03-31T22:36:07-07:00
43;Mauro Giansiracusa;Mauro's Magical Show;;Mauro;Giansiracusa;Mauro Giansiracusa;;999-9998;878-8787;;;242 Machray Ave;;;;Ottawa;ON;K4Q 7L9;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:08-07:00;2026-03-31T22:36:08-07:00
63;Michelle  Long (deleted);Long for Success, LLC;;Michelle;Long;Michelle  Long;;;;;;123 Main Street;;;;Kansas City;;64111;;;;;;;;false;false;false;;0;USD;false;2026-03-31T22:43:58-07:00;2026-04-01T10:33:26-07:00
44;Michelle Long;Michelle Long;;Michelle;Long;Michelle Long;;;;;;;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:08-07:00;2026-03-31T22:36:08-07:00
45;Mindy Khoo;Khoo Transmission;;Mindy;Khoo;Mindy Khoo;;999-9998;222-2622;;;87 River Avenue;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:08-07:00;2026-03-31T22:36:08-07:00
46;Monica Haslip;Photos by Monica;;Monica;Haslip;Monica Haslip;;204-2040;878-8787;;;15 Spencer Ave.;;;;North Bay;ON;P8B 9M9;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:08-07:00;2026-03-31T22:36:08-07:00
47;Olivier Helleboid;BACS Helleboid;;Olivier;Helleboid;Olivier Helleboid;;985-5895;204-2040;;;45 Amber Ave.;;;;Regina;SK;S0K 6O9;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:08-07:00;2026-03-31T22:36:08-07:00
48;Organization of Outstanding Events;Organization of Outstanding Events;;Organization;Outstanding Events;Organization of Outstanding Events;;;;;;;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:09-07:00;2026-03-31T22:36:09-07:00
49;Rajeswari Jayaraman;Raj's Consulting Company;;Rajeswari;Jayaraman;Rajeswari Jayaraman;;780-8007;514-9999;;;2305 Arbutus St.;;;;Montreal;QC;H7X 5B2;;;;;;;;false;true;false;;0;CAD;true;2026-03-31T22:36:09-07:00;2026-03-31T22:36:09-07:00
50;Restaurant;Restaurant;;Restaurant;;Restaurant;;;;;;;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:09-07:00;2026-03-31T22:36:09-07:00
51;Sanjeev Kak;Sanjeev Electrics;;Sanjeev;Kak;Sanjeev Kak;;;;;;2345 Base Line Rd;;;;Toronto;ON;M9J 7I0;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:09-07:00;2026-03-31T22:36:09-07:00
52;Sukanya Kanogart;Sukanya Kanogart;;Sukanya;Kanogart;Sukanya Kanogart;;;;;;123 Huntley Street;;;;Ottawa;ON;K7U 3R5;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:09-07:00;2026-03-31T22:36:09-07:00
53;Supplies Depot;Supplies Depot;;Supplies;Depot;Supplies Depot;;;;;;;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:09-07:00;2026-03-31T22:36:09-07:00
54;Tom Hurlbutt;Tom's Cleaning;;Tom;Hurlbutt;Tom Hurlbutt;;;;;;987 Mapleque Rd;;;;Vancouver;BC;V7A 8F4;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:10-07:00;2026-03-31T22:36:10-07:00
55;Town Electric & Gas Service;Town Electric & Gas Service;;Town;& Gas Service;Town Electric & Gas Service;;;;;;;;;;;;;;;;;;;;false;false;true;;0;CAD;true;2026-03-31T22:36:10-07:00;2026-03-31T22:36:10-07:00
56;Venue Rental;Venue Rental;;Venue;Rental;Venue Rental;;;;;;;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:10-07:00;2026-03-31T22:36:10-07:00
