Id;DocNumber;TxnDate;CurrencyRef.value;ExchangeRate;PrivateNote;DepartmentRef.value;DepartmentRef.name;ClassRef.value;ClassRef.name;PaymentType;AccountRef.value;AccountRef.name;EntityRef.type;EntityRef.value;EntityRef.name;Credit;TotalAmt;TxnTaxDetail.TotalTax;TxnTaxDetail.TaxLine;PaymentMethodRef.value;PrintStatus;GlobalTaxCalculation;RemitToAddr.Line1;RemitToAddr.Line2;RemitToAddr.Line3;RemitToAddr.Line4;RemitToAddr.City;RemitToAddr.CountrySubDivisionCode;RemitToAddr.PostalCode;RemitToAddr.Country;LinkedTxn;MetaData.CreateTime;MetaData.LastUpdatedTime
92;;2026-02-03;CAD;1;;;;;;CreditCard;79;Visa Credit Card;Vendor;35;Jennifer Hargreaves;false;245.80;28.28;TaxRateRef=11 Pct=13 Base=217.52 Montant=28.28;;;TaxExcluded;;;;;;;;;;2026-03-31T23:58:30-07:00;2026-04-01T14:12:45-07:00
91;2054;2026-01-26;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;1000.00;0;TaxRateRef=1 Pct=0 Base=1000.00 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:56:28-07:00;2026-04-01T14:11:50-07:00
86;2050;2026-02-05;CAD;1;;;;;;Check;38;Chequing;Vendor;33;Jacque Hudspeth;;4237.50;487.50;TaxRateRef=11 Pct=13 Base=3750.00 Montant=487.50;;NotSet;TaxExcluded;422 Worthington St. E.;;;;Vancouver;BC;V8X 6D9;;ReimburseCharge:87;2026-03-31T23:52:40-07:00;2026-04-01T13:00:23-07:00
82;2049;2026-01-26;CAD;1;;;;;;Check;38;Chequing;Vendor;38;Kristina Gibson;;1546.69;177.94;TaxRateRef=11 Pct=13 Base=1368.75 Montant=177.94;;NotSet;TaxExcluded;304 Champlain Street;;;;Montreal;QC;H2G 4R0;;ReimburseCharge:83 | ReimburseCharge:84 | ReimburseCharge:85;2026-03-31T23:51:56-07:00;2026-04-01T13:00:23-07:00
52;2030;2025-10-24;CAD;1;;;;;;Check;38;Chequing;Vendor;33;Jacque Hudspeth;;1384.25;159.25;TaxRateRef=11 Pct=13 Base=1225.00 Montant=159.25;;NotSet;TaxExcluded;422 Worthington St. E.;;;;Vancouver;BC;V8X 6D9;;ReimburseCharge:53;2026-03-31T23:40:50-07:00;2026-04-01T12:58:58-07:00
48;2029;2025-10-24;CAD;1;;;;;;Check;38;Chequing;Vendor;38;Kristina Gibson;;721.79;83.04;TaxRateRef=11 Pct=13 Base=638.75 Montant=83.04;;NotSet;TaxExcluded;304 Champlain Street;;;;Montreal;QC;H2G 4R0;;ReimburseCharge:49 | ReimburseCharge:50 | ReimburseCharge:51;2026-03-31T23:40:06-07:00;2026-04-01T12:58:58-07:00
133;;2026-02-25;CAD;1;;;;;;CreditCard;79;Visa Credit Card;;;;false;3831.80;;;;;TaxExcluded;;;;;;;;;;2026-04-01T10:31:41-07:00;2026-04-01T10:31:41-07:00
78;2048;2026-01-16;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;;;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:51:01-07:00;2026-04-01T01:30:57-07:00
69;2041;2025-12-15;CAD;1;;;;;;Check;38;Chequing;Vendor;33;Jacque Hudspeth;;4237.50;487.50;TaxRateRef=11 Pct=13 Base=3750.00 Montant=487.50;;NotSet;TaxExcluded;422 Worthington St. E.;;;;Vancouver;BC;V8X 6D9;;ReimburseCharge:70;2026-03-31T23:47:47-07:00;2026-04-01T11:10:48-07:00
44;2028;2025-10-24;CAD;1;;;;;;Check;38;Chequing;Vendor;38;Kristina Gibson;;418.95;48.20;TaxRateRef=11 Pct=13 Base=370.75 Montant=48.20;;NotSet;TaxExcluded;304 Champlain Street;;;;Montreal;QC;H2G 4R0;;ReimburseCharge:45 | ReimburseCharge:46 | ReimburseCharge:47;2026-03-31T23:38:06-07:00;2026-04-01T11:12:19-07:00
54;2031;2025-11-07;CAD;1;;;;;;Check;38;Chequing;Vendor;33;Jacque Hudspeth;;1200.63;138.13;TaxRateRef=11 Pct=13 Base=1062.50 Montant=138.13;;NotSet;TaxExcluded;422 Worthington St. E.;;;;Vancouver;BC;V8X 6D9;;ReimburseCharge:55;2026-03-31T23:41:22-07:00;2026-04-01T11:12:19-07:00
56;2032;2025-11-07;CAD;1;;;;;;Check;38;Chequing;Vendor;41;Garcia's Event Space;;1130.00;130.00;TaxRateRef=11 Pct=13 Base=1000.00 Montant=130.00;;NotSet;TaxExcluded;27 Norman Wesley Way;;;;Montreal;QC;H3I 7K5;;ReimburseCharge:57;2026-03-31T23:41:48-07:00;2026-04-01T11:12:19-07:00
113;2066;2026-03-28;CAD;1;;;;;;Check;38;Chequing;Vendor;43;Mauro Giansiracusa;;847.50;97.50;TaxRateRef=11 Pct=13 Base=750.00 Montant=97.50;;NotSet;TaxExcluded;242 Machray Ave;;;;Ottawa;ON;K4Q 7L9;;ReimburseCharge:114;2026-04-01T00:20:20-07:00;2026-04-01T00:20:20-07:00
111;2065;2026-03-28;CAD;1;;;;;;Check;38;Chequing;Vendor;41;Garcia's Event Space;;2825.00;325.00;TaxRateRef=11 Pct=13 Base=2500.00 Montant=325.00;;NotSet;TaxExcluded;27 Norman Wesley Way;;;;Montreal;QC;H3I 7K5;;ReimburseCharge:112;2026-04-01T00:19:39-07:00;2026-04-01T00:19:39-07:00
109;2064;2026-03-28;CAD;1;;;;;;Check;38;Chequing;Vendor;33;Jacque Hudspeth;;14125.00;1625.00;TaxRateRef=11 Pct=13 Base=12500.00 Montant=1625.00;;NotSet;TaxExcluded;422 Worthington St. E.;;;;Vancouver;BC;V8X 6D9;;ReimburseCharge:110;2026-04-01T00:19:00-07:00;2026-04-01T00:19:00-07:00
108;2063;2026-03-23;CAD;1;;;;;;Check;38;Chequing;Vendor;44;Michelle Long;;500.00;;;;NotSet;TaxExcluded;;;;;;;;;;2026-04-01T00:18:15-07:00;2026-04-01T00:18:15-07:00
107;2062;2026-03-23;CAD;1;;;;;;Check;38;Chequing;Vendor;27;Cass Hayden;;847.50;97.50;TaxRateRef=11 Pct=13 Base=750.00 Montant=97.50;;NotSet;TaxExcluded;1845 Base Line Rd;;;;Toronto;ON;M9J 7I0;;;2026-04-01T00:17:57-07:00;2026-04-01T00:17:57-07:00
106;2061;2026-03-13;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;;;;NotSet;TaxExcluded;;;;;;;;;;2026-04-01T00:17:36-07:00;2026-04-01T00:17:36-07:00
105;2060;2026-03-13;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;226.55;26.06;TaxRateRef=11 Pct=13 Base=200.49 Montant=26.06;;NotSet;TaxExcluded;;;;;;;;;;2026-04-01T00:17:27-07:00;2026-04-01T00:17:27-07:00
104;2059;2026-03-13;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-04-01T00:16:59-07:00;2026-04-01T00:16:59-07:00
101;2058;2026-03-10;CAD;1;;;;;;Check;38;Chequing;Vendor;38;Kristina Gibson;;2471.88;284.38;TaxRateRef=11 Pct=13 Base=2187.50 Montant=284.38;;NotSet;TaxExcluded;304 Champlain Street;;;;Montreal;QC;H2G 4R0;;ReimburseCharge:102 | ReimburseCharge:103;2026-04-01T00:16:41-07:00;2026-04-01T00:16:41-07:00
100;2057;2026-03-13;CAD;1.08149;;;;;;Check;38;Chequing;Vendor;44;Michelle Long;;500.00;;;;NotSet;TaxExcluded;;;;;;;;;;2026-04-01T00:12:47-07:00;2026-04-01T00:12:47-07:00
95;2056;2026-02-16;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;;;;NotSet;TaxExcluded;;;;;;;;;;2026-04-01T00:02:54-07:00;2026-04-01T00:02:54-07:00
94;2055;2026-02-16;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;1000.00;0;TaxRateRef=1 Pct=0 Base=1000.00 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-04-01T00:02:17-07:00;2026-04-01T00:02:17-07:00
90;2053;2026-02-11;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;76.98;8.86;TaxRateRef=11 Pct=13 Base=68.12 Montant=8.86;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:55:40-07:00;2026-03-31T23:55:40-07:00
89;2052;2026-02-11;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;238.28;27.41;TaxRateRef=11 Pct=13 Base=210.87 Montant=27.41;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:53:33-07:00;2026-03-31T23:53:33-07:00
88;2051;2026-02-11;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:53:03-07:00;2026-03-31T23:53:03-07:00
77;2047;2026-01-11;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;84.70;9.74;TaxRateRef=11 Pct=13 Base=74.96 Montant=9.74;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:49:51-07:00;2026-03-31T23:49:51-07:00
76;2046;2026-01-11;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;254.06;29.23;TaxRateRef=11 Pct=13 Base=224.83 Montant=29.23;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:49:34-07:00;2026-03-31T23:49:34-07:00
75;2045;2026-01-11;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:49:15-07:00;2026-03-31T23:49:15-07:00
74;2044;2025-12-17;CAD;1;;;;;;Check;38;Chequing;Vendor;27;Cass Hayden;;847.50;97.50;TaxRateRef=11 Pct=13 Base=750.00 Montant=97.50;;NotSet;TaxExcluded;1845 Base Line Rd;;;;Toronto;ON;M9J 7I0;;;2026-03-31T23:48:52-07:00;2026-03-31T23:48:52-07:00
73;2043;2025-12-17;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:48:30-07:00;2026-03-31T23:48:30-07:00
71;2042;2025-12-15;CAD;1;;;;;;Check;38;Chequing;Vendor;41;Garcia's Event Space;;1130.00;130.00;TaxRateRef=11 Pct=13 Base=1000.00 Montant=130.00;;NotSet;TaxExcluded;27 Norman Wesley Way;;;;Montreal;QC;H3I 7K5;;ReimburseCharge:72;2026-03-31T23:48:16-07:00;2026-04-01T11:10:48-07:00
68;2040;2025-12-12;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;92.42;10.63;TaxRateRef=11 Pct=13 Base=81.79 Montant=10.63;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:47:11-07:00;2026-03-31T23:47:11-07:00
67;2039;2025-12-12;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;281.62;32.40;TaxRateRef=11 Pct=13 Base=249.22 Montant=32.40;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:46:16-07:00;2026-03-31T23:46:55-07:00
66;2038;2025-12-12;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:45:56-07:00;2026-03-31T23:45:56-07:00
62;2037;2025-11-16;CAD;1;;;;;;Check;38;Chequing;Vendor;38;Kristina Gibson;;837.90;96.40;TaxRateRef=11 Pct=13 Base=741.50 Montant=96.40;;NotSet;TaxExcluded;304 Champlain Street;;;;Montreal;QC;H2G 4R0;;ReimburseCharge:64 | ReimburseCharge:65 | ReimburseCharge:63;2026-03-31T23:45:27-07:00;2026-04-01T11:10:48-07:00
61;2036;2025-11-16;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:43:59-07:00;2026-03-31T23:43:59-07:00
60;2035;2025-11-11;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;102.23;11.76;TaxRateRef=11 Pct=13 Base=90.47 Montant=11.76;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:43:32-07:00;2026-03-31T23:43:32-07:00
59;2034;2025-11-11;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;313.15;36.03;TaxRateRef=11 Pct=13 Base=277.12 Montant=36.03;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:43:07-07:00;2026-03-31T23:43:07-07:00
58;2033;2025-11-11;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:42:07-07:00;2026-03-31T23:42:07-07:00
43;2027;2025-10-19;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:36:12-07:00;2026-03-31T23:36:12-07:00
42;2026;2025-10-19;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:35:09-07:00;2026-03-31T23:35:09-07:00
41;2025;2025-10-14;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;287.82;33.11;TaxRateRef=11 Pct=13 Base=254.71 Montant=33.11;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:34:46-07:00;2026-03-31T23:34:46-07:00
40;2024;2025-10-14;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:34:19-07:00;2026-03-31T23:34:19-07:00
39;2023;2025-09-23;CAD;1;;;;;;Check;38;Chequing;Vendor;27;Cass Hayden;;847.50;97.50;TaxRateRef=11 Pct=13 Base=750.00 Montant=97.50;;NotSet;TaxExcluded;1845 Base Line Rd;;;;Toronto;ON;M9J 7I0;;;2026-03-31T23:34:00-07:00;2026-03-31T23:34:00-07:00
38;2022;2025-09-18;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:33:35-07:00;2026-03-31T23:33:35-07:00
36;2021;2025-09-18;CAD;1;;;;;;Check;38;Chequing;Vendor;41;Garcia's Event Space;;847.50;97.50;TaxRateRef=11 Pct=13 Base=750.00 Montant=97.50;;NotSet;TaxExcluded;Lisa Garcia;Lisa Garcia;27 Norman Wesley Way;Montreal QC  H3I 7K5;;;;;ReimburseCharge:37;2026-03-31T23:33:19-07:00;2026-04-01T11:13:02-07:00
34;2020;2025-09-18;CAD;1;;;;;;Check;38;Chequing;Vendor;33;Jacque Hudspeth;;791.00;91.00;TaxRateRef=11 Pct=13 Base=700.00 Montant=91.00;;NotSet;TaxExcluded;422 Worthington St. E.;;;;Vancouver;BC;V8X 6D9;;ReimburseCharge:35;2026-03-31T23:31:05-07:00;2026-04-01T11:13:02-07:00
30;2019;2026-09-13;CAD;1;;;;;;Check;38;Chequing;Vendor;38;Kristina Gibson;;309.34;35.59;TaxRateRef=11 Pct=13 Base=273.75 Montant=35.59;;NotSet;TaxExcluded;304 Champlain Street;;;;Montreal;QC;H2G 4R0;;ReimburseCharge:32 | ReimburseCharge:33 | ReimburseCharge:31;2026-03-31T23:30:10-07:00;2026-04-01T11:13:02-07:00
29;2018;2026-09-13;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;100.25;11.53;TaxRateRef=11 Pct=13 Base=88.72 Montant=11.53;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:28:05-07:00;2026-03-31T23:28:05-07:00
28;2017;2026-09-13;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;242.78;27.93;TaxRateRef=11 Pct=13 Base=214.85 Montant=27.93;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:27:47-07:00;2026-03-31T23:27:47-07:00
27;2016;2026-09-13;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:27:26-07:00;2026-03-31T23:27:26-07:00
26;2015;2026-08-18;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:26:54-07:00;2026-03-31T23:26:54-07:00
25;2013;2026-08-13;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;211.13;24.29;TaxRateRef=11 Pct=13 Base=186.84 Montant=24.29;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:26:33-07:00;2026-03-31T23:26:33-07:00
24;2014;2026-08-13;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;77.65;8.93;TaxRateRef=11 Pct=13 Base=68.72 Montant=8.93;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:26:06-07:00;2026-03-31T23:26:06-07:00
23;2012;2026-08-13;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:25:44-07:00;2026-03-31T23:25:44-07:00
18;2011;2026-07-19;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:09:51-07:00;2026-03-31T23:09:51-07:00
17;2010;2026-07-19;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;0;TaxRateRef=1 Pct=0 Base=471.78 Montant=0;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:09:33-07:00;2026-03-31T23:09:33-07:00
16;2009;2026-07-15;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;57.91;6.66;TaxRateRef=11 Pct=13 Base=51.25 Montant=6.66;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:07:57-07:00;2026-03-31T23:07:57-07:00
15;2008;2026-07-14;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;187.40;21.56;TaxRateRef=11 Pct=13 Base=165.84 Montant=21.56;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T23:07:32-07:00;2026-03-31T23:07:32-07:00
14;2007;2026-07-14;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T23:06:57-07:00;2026-03-31T23:06:57-07:00
9;2006;2026-06-20;CAD;1;;;;;;Check;38;Chequing;Vendor;56;Venue Rental;;5650.00;650.00;TaxRateRef=11 Pct=13 Base=5000.00 Montant=650.00;;NotSet;TaxExcluded;;;;;;;;;ReimburseCharge:10;2026-03-31T22:58:14-07:00;2026-03-31T22:58:14-07:00
8;2005;2026-06-15;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;60.17;6.92;TaxRateRef=11 Pct=13 Base=53.25 Montant=6.92;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T22:48:29-07:00;2026-03-31T22:48:29-07:00
7;2004;2026-06-15;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;177.34;20.40;TaxRateRef=11 Pct=13 Base=156.94 Montant=20.40;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T22:47:53-07:00;2026-03-31T22:47:53-07:00
6;2003;2026-06-13;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-03-31T22:47:07-07:00;2026-03-31T22:47:07-07:00
5;2002;2026-06-12;CAD;1;;;;;;Check;38;Chequing;Vendor;48;Organization of Outstanding Events;;367.25;42.25;TaxRateRef=11 Pct=13 Base=325.00 Montant=42.25;;NotSet;TaxExcluded;;;;;;;;;;2026-03-31T22:46:26-07:00;2026-03-31T22:46:26-07:00
4;2001;2026-06-12;CAD;1;;;;;;Check;38;Chequing;Vendor;27;Cass Hayden;;847.50;97.50;TaxRateRef=11 Pct=13 Base=750.00 Montant=97.50;;NotSet;TaxExcluded;1845 Base Line Rd;;;;Toronto;ON;M9J 7I0;;;2026-03-31T22:45:33-07:00;2026-03-31T22:45:33-07:00
